defaulted,revolving_utilization,age,late_30_59_days,debt_ratio,monthly_income,open_credit_lines,late_90_days,real_estate_loans,late_60_89_days,dependents
,0.88551908,43,0,0.177512717,5700.0,4,0,0,0,0.0
,0.463295269,57,0,0.527236928,9141.0,15,0,4,0,2.0
,0.043275036,59,0,0.687647522,5083.0,12,0,1,0,2.0
,0.280308229,38,1,0.925960637,3200.0,7,0,2,0,0.0
,0.9999999,27,0,0.019917227,3865.0,4,0,0,0,1.0
,0.509791452,63,0,0.342429365,4140.0,4,0,0,0,1.0
,0.587778161,50,0,1048.0,0.0,5,0,0,0,3.0
,0.046148938,79,1,0.3691702,3301.0,8,0,1,0,1.0
,0.013527027,68,0,2024.0,5400.0,4,0,1,0,0.0
,0.9999999,23,98,0.0,0.0,0,98,0,98,0.0
,0.0284849,37,0,0.319686529,7400.0,8,0,1,0,1.0
,0.085076597,52,0,0.903552105,4250.0,6,0,2,0,0.0
,0.010596142,68,0,0.007782101,3854.0,16,0,0,0,0.0
,0.380678869,30,0,0.37744902,2500.0,12,0,0,0,1.0
,0.556893515,56,0,0.697347208,6822.0,14,0,1,0,1.0
,0.079055723,28,0,0.105831231,7133.0,8,0,0,0,0.0
,0.543013445,72,0,0.461786138,5900.0,10,0,2,0,1.0
,0.11234564,37,0,0.144326363,2916.0,7,0,0,0,0.0
,0.648285056,29,0,0.174850033,4500.0,4,0,0,1,1.0
,0.686406344,43,0,487.0,5400.0,10,0,0,0,1.0
,0.085909749,48,0,0.19615602,8844.0,8,0,1,0,1.0
,0.158548716,61,0,0.353158292,11920.0,13,0,1,0,0.0
,0.009303162,69,0,0.384451019,6083.0,4,0,2,0,0.0
,0.95744175,69,2,0.666337936,3041.0,8,1,1,1,1.0
,0.442489363,50,1,0.286554523,8500.0,17,0,1,0,2.0
,0.125267033,51,0,3825.0,5400.0,10,0,2,0,0.0
,0.9999999,45,0,0.0,4750.0,1,0,0,0,1.0
,0.181480656,67,0,1509.0,5400.0,12,0,1,0,0.0
,0.729396906,34,0,0.335555259,7500.0,6,0,2,0,1.0
,0.024445377,47,0,4963.0,5400.0,20,0,2,0,2.0
,0.691411308,44,0,0.173777315,4804.0,10,0,0,0,0.0
,0.0,55,0,2007.0,5400.0,5,0,1,0,0.0
,0.0,57,0,0.212446888,4000.0,12,0,0,0,0.0
,0.817480149,54,0,0.13272101,4354.0,6,0,0,0,0.0
,1.008266866,61,4,0.261173013,8166.0,14,0,1,0,1.0
,0.423358479,49,0,0.616301423,2600.0,13,0,1,0,1.0
,0.282515024,32,0,0.49290142,5000.0,10,0,1,0,1.0
,0.14212674,56,0,4009.0,5400.0,9,0,2,0,2.0
,0.022738142,41,0,0.343160782,5833.0,5,0,1,0,3.0
,0.005893211,57,1,0.386379019,11819.0,25,0,4,0,1.0
,0.603509659,47,0,1.009598604,4583.0,21,0,12,0,3.0
,0.715499066,40,2,0.642835504,3300.0,12,0,2,0,0.0
,0.640013926,46,0,0.854994215,2592.0,13,0,1,0,0.0
,0.025266165,60,0,0.348583548,6600.0,8,0,2,0,0.0
,0.19088468,67,1,2.994208494,1035.0,23,0,1,0,0.0
,0.003449175,79,0,5.0,5400.0,4,0,0,0,0.0
,0.013049348,80,0,7.0,5400.0,2,0,0,0,0.0
,0.222960536,56,0,0.457949309,10415.0,12,0,2,0,3.0
,0.019542164,41,0,0.189562088,5000.0,15,0,0,0,0.0
,0.524461145,56,0,0.412297893,8163.0,9,0,2,0,3.0
,0.083716694,52,0,0.105468338,9490.0,18,0,0,0,0.0
,0.12714116,87,0,0.135945622,2500.0,14,0,0,0,0.0
,0.004229082,45,0,0.282128747,8605.0,5,0,2,0,1.0
,0.9999999,48,0,0.29995905,4883.0,4,0,2,0,0.0
,0.09828419,36,0,0.375484586,5416.0,13,0,1,0,0.0
,0.553245935,47,1,0.3496557,6534.0,8,0,1,0,1.0
,0.113111018,69,0,0.037392521,5000.0,4,0,0,0,1.0
,0.623466258,29,1,0.007997715,3500.0,6,0,0,0,0.0
,0.586821108,59,1,0.323968393,3416.0,7,0,0,0,0.0
,0.473293345,36,1,0.475249939,4100.0,6,0,1,0,3.0
,0.404983801,63,0,0.023952352,46675.0,6,0,0,0,1.0
,0.042376836,48,0,0.291894162,16666.0,8,0,2,0,0.0
,0.0,32,0,0.440890919,1750.0,7,0,1,0,0.0
,0.008699783,63,0,0.6961013,3000.0,6,0,1,0,0.0
,0.017808676,46,0,0.748034754,2416.0,6,0,2,0,0.0
,0.128594901,74,0,0.795734755,3000.0,22,0,2,0,0.0
,0.057245192,44,0,0.402049829,12000.0,9,0,2,0,0.0
,0.9999999,36,0,0.00239952,5000.0,0,0,0,0,0.0
,0.060830479,60,0,0.27274191,6210.0,8,0,1,0,0.0
,0.9999999,52,98,0.020302695,2708.0,0,98,0,98,0.0
,0.304505013,53,0,1909.0,5400.0,8,0,1,0,0.0
,1.007999,31,0,0.12593588,5208.0,3,0,0,0,0.0
,0.205385796,71,0,0.167160055,10133.0,8,0,1,0,0.0
,0.9999999,34,1,0.322838581,2000.0,3,0,0,0,0.0
,0.146739206,45,0,0.186481352,10000.0,10,0,1,0,2.0
,0.789460527,60,0,0.174165795,8600.0,6,0,1,0,0.0
,0.461022124,49,0,1.02429402,4815.0,15,0,1,0,2.0
,0.178906103,40,0,0.830723092,3000.0,13,0,2,0,1.0
,0.0,62,0,3764.0,5400.0,14,0,3,0,0.0
,0.04553706,38,0,0.421822272,8000.0,10,0,2,0,4.0
,0.085647252,47,0,577.0,5400.0,9,0,0,0,0.0
,0.179955135,50,0,0.273643863,12000.0,9,0,1,0,0.0
,0.0,25,0,0.358946213,1821.0,7,0,0,0,0.0
,0.076354096,80,0,0.095634096,7695.0,13,0,0,0,0.0
,0.274073057,48,0,0.224086484,20442.0,10,0,2,0,5.0
,0.0,49,0,0.481076863,5125.0,6,0,2,0,0.0
,0.670106417,22,0,0.172031077,900.0,3,0,0,0,0.0
,0.0,45,0,743.0,5400.0,8,0,1,0,0.0
,0.2484951,26,0,0.22406639,2650.0,7,0,0,0,0.0
,0.121839737,25,0,0.712418301,764.0,6,0,0,0,0.0
,0.471882029,33,0,0.009030801,6200.0,1,0,0,0,2.0
,0.127925892,51,0,0.25369501,5750.0,11,0,1,0,3.0
,0.017074014,49,0,0.333349593,20500.0,10,0,2,0,2.0
,0.217222445,55,0,0.349096501,2600.0,4,0,1,0,1.0
,0.002333278,61,0,0.081550486,12666.0,8,0,2,0,1.0
,0.005574991,68,1,3.014804416,15670.0,32,0,21,0,0.0
,0.425852948,57,0,0.421084912,14673.0,16,0,2,0,1.0
,0.633435124,44,0,0.702283105,6569.0,13,0,1,0,3.0
,0.010456209,51,0,0.0121673,2629.0,7,0,0,0,0.0
,0.003817835,28,0,0.139479905,3383.0,6,0,0,0,0.0
,0.784202555,48,0,0.255395683,5837.0,6,0,0,0,0.0
,0.743010708,42,0,0.644246501,5500.0,8,0,2,0,2.0
,0.065279751,63,0,1227.0,5400.0,10,0,1,0,0.0
,0.726230416,42,0,0.511542364,7883.0,8,0,1,0,2.0
,0.00188723,37,1,2705.0,5400.0,15,0,3,0,0.0
,0.179196308,25,0,0.020753267,1300.0,3,0,0,0,0.0
,0.691711851,42,2,0.317501361,7347.0,10,1,1,0,0.0
,0.208787353,80,0,0.355753499,5500.0,11,0,2,0,1.0
,0.008226938,58,0,0.17470617,8167.0,13,0,1,0,0.0
,0.143404799,47,0,0.342215519,5966.0,11,0,2,0,0.0
,0.178282566,54,0,4963.0,5400.0,17,0,1,0,0.0
,0.134259516,32,0,2335.0,5400.0,11,0,2,0,1.0
,0.075396229,39,0,0.720239975,3166.0,10,0,1,0,2.0
,0.9999999,40,0,583.0,5400.0,2,1,0,1,1.0
,0.9999999,33,0,0.058776489,2500.0,4,0,0,0,0.0
,0.053565615,63,0,0.216343969,11000.0,15,0,2,0,0.0
,0.007959951,64,0,1139.0,5400.0,4,0,1,0,0.0
,0.9999999,31,0,0.200719712,2500.0,4,0,0,0,0.0
,0.0,43,0,0.29008672,5880.0,8,0,2,0,0.0
,0.011298743,60,0,0.202783777,4166.0,11,0,1,0,0.0
,0.137670636,61,0,0.505499214,7000.0,7,0,2,0,1.0
,0.067472315,56,1,0.625610482,8394.0,20,0,3,0,0.0
,0.156938644,53,0,0.154980627,8000.0,5,0,1,0,5.0
,1.0886898342199998,49,0,497.0,5400.0,2,2,0,1,0.0
,0.00441315,44,0,3092.0,5400.0,8,0,1,0,0.0
,0.167302177,59,0,0.24471435,15560.0,31,0,2,0,1.0
,0.009340957,93,0,0.002749313,4000.0,6,0,0,0,1.0
,0.008623707,50,0,0.461307738,3333.0,10,0,2,0,0.0
